Date,Open,High,Low,Close,Adj Close,Volume
1970-08-12,5.959535,5.999599,5.929487,5.979567,1.258110,272064
1970-08-13,5.949519,5.949519,5.889423,5.889423,1.239144,250848
1970-08-14,5.889423,5.919471,5.879407,5.909455,1.243358,258336
1970-08-17,5.909455,5.929487,5.889423,5.929487,1.247574,198432
1970-08-18,5.929487,5.969551,5.909455,5.959535,1.253896,999648
1970-08-19,5.989583,6.089744,5.989583,6.029647,1.268646,537888
1970-08-20,6.029647,6.119792,6.009615,6.109776,1.285507,364416
1970-08-21,6.179888,6.330128,6.179888,6.330128,1.331868,507936
1970-08-24,6.330128,6.410256,6.330128,6.370192,1.340298,559104
1970-08-25,6.370192,6.400240,6.280048,6.320112,1.329761,638976
1970-08-26,6.320112,6.360176,6.290064,6.300080,1.325546,701376
1970-08-27,6.300080,6.370192,6.290064,6.300080,1.325546,351936
1970-08-28,6.300080,6.410256,6.290064,6.330128,1.331868,537888
1970-08-31,6.330128,6.350160,6.290064,6.290064,1.323439,305760
1970-09-01,6.290064,6.300080,6.209936,6.260016,1.317117,408096
1970-09-02,6.260016,6.260016,6.139824,6.239984,1.312902,369408
1970-09-03,6.270032,6.360176,6.270032,6.310096,1.327654,237120
1970-09-04,6.310096,6.320112,6.260016,6.300080,1.325546,335712
1970-09-08,6.300080,6.390224,6.239984,6.390224,1.344513,341952
1970-09-09,6.390224,6.470353,6.370192,6.400240,1.346620,690144
1970-09-10,6.400240,6.420272,6.380208,6.410256,1.348727,228384
1970-09-11,6.410256,6.460337,6.390224,6.430288,1.352942,415584
1970-09-14,6.430288,6.450321,6.380208,6.380208,1.342405,340704
1970-09-15,6.380208,6.380208,6.330128,6.350160,1.336084,292032
1970-09-16,6.350160,6.420272,6.310096,6.410256,1.348727,404352
1970-09-17,6.430288,6.560497,6.430288,6.490385,1.365588,520416
1970-09-18,6.490385,6.550481,6.450321,6.480369,1.363480,314496
1970-09-21,6.480369,6.520433,6.430288,6.440304,1.366028,380640
1970-09-22,6.440304,6.530449,6.410256,6.490385,1.376652,298272
1970-09-23,6.490385,6.610577,6.480369,6.530449,1.385149,324480
1970-09-24,6.530449,6.610577,6.530449,6.570513,1.393647,302016
1970-09-25,6.590545,6.700721,6.590545,6.630609,1.406394,334464
1970-09-28,6.630609,6.770833,6.610577,6.730769,1.427639,515424
1970-09-29,6.730769,6.961138,6.670673,6.790865,1.440385,691392
1970-09-30,6.790865,6.850962,6.670673,6.760817,1.434010,524160
1970-10-01,6.760817,6.770833,6.690705,6.750801,1.431887,474240
1970-10-02,6.750801,6.850962,6.750801,6.810897,1.444633,339456
1970-10-05,6.810897,6.941106,6.740785,6.850962,1.453132,480480
1970-10-06,6.850962,6.921074,6.810897,6.810897,1.444633,415584
1970-10-07,6.810897,6.840946,6.740785,6.800881,1.442509,340704
1970-10-08,6.810897,6.931090,6.810897,6.820913,1.446759,661440
1970-10-09,6.810897,6.810897,6.730769,6.760817,1.434010,486720
1970-10-12,6.760817,6.760817,6.680689,6.690705,1.419141,134784
1970-10-13,6.690705,6.690705,6.620593,6.620593,1.404269,341952
1970-10-14,6.630609,6.690705,6.630609,6.670673,1.414891,936000
1970-10-15,6.690705,6.810897,6.690705,6.770833,1.436136,416832
1970-10-16,6.760817,6.760817,6.630609,6.670673,1.414891,277056
1970-10-19,6.670673,6.670673,6.610577,6.650641,1.410643,333216
1970-10-20,6.650641,6.740785,6.640625,6.720753,1.425515,314496
1970-10-21,6.770833,6.881010,6.770833,6.810897,1.444633,535392
1970-10-22,6.810897,6.860978,6.800881,6.820913,1.446759,294528
1970-10-23,6.820913,6.941106,6.820913,6.891026,1.461630,424320
1970-10-26,6.891026,7.001202,6.870994,6.901042,1.463753,494208
1970-10-27,6.891026,6.891026,6.840946,6.840946,1.451007,233376
1970-10-28,6.840946,6.921074,6.840946,6.921074,1.468003,468000
1970-10-29,6.921074,6.921074,6.860978,6.881010,1.459505,334464
1970-10-30,6.891026,6.931090,6.891026,6.891026,1.461630,350688
